,No.,Trade Date,Type,Ticker,Direction,Call/Put,Currency,Spot Price,% to Strike,Strike,Ref Price,Strike %,Expiry Date,DTE,Quantity,Notl (Local),Notl ($),Delta Notl,Broker,% Premium,Status,Premium ($),Delivery PnL,Combined PnL,Strategy,Notes,FX,Cum Premium,Option Type
735,733,14-Dec-23,Listed - Stock,STAA US,Sell,Call,USD,31.56,51%,47.5,35.8,132.7%,2024-03-15,14,"57,600",$2.06,-2.74,$0.00,UBS,2.61%,Active,"$53,827",$0,"$53,827",,,1.0,"$10,713,272",Sell Call
747,745,24-Jan-24,Listed - Stock,BESI NA,Sell,Put,EUR,165.95,28%,130,146.9,88.5%,2024-03-15,50,79,$0.90,0.79,,MS,2.58%,Active,"$29,008",#NAME?,#NAME?,,,1.0,"$9,250,312",Sell Put
748,746,24-Jan-24,Listed - Stock,BESI NA,Sell,Put,EUR,165.95,14%,145,146.9,98.7%,2024-03-15,50,61,$0.90,0.88,,MS,5.64%,Active,"$50,547",#NAME?,#NAME?,,,1.0,"$9,300,859",Sell Put
751,749,1-Feb-24,Listed - Stock,STAA US,Sell,Call,USD,31.56,19%,37.5,28.7,130.7%,2024-03-15,14,400,$0.01,-0.02,$0.00,UBS,1.54%,Active,$177,$0,$177,,,1.0,"$9,377,511",Sell Call
752,750,2-Feb-24,OTC - Stock,ADYEN NA,Sell,Call,EUR,1456.4,-11%,1300,1209.4,107.5%,2024-03-15,14,"1,520",$1.84,-1.98,-$1.93,UBS,3.74%,Active,"$68,808","-$257,103","-$188,295",,,1.0815,"$9,446,319",Sell Call
753,751,2-Feb-24,OTC - Stock,ADYEN NA,Sell,Call,USD,1456.4,-4%,1400,1209.4,115.8%,2024-03-15,14,"1,520",$1.84,-2.13,-$1.42,UBS,1.70%,Active,"$31,340","-$85,728","-$54,388",,,1.0,"$9,477,659",Sell Call
754,752,2-Feb-24,Listed - Stock,ONON US,Sell,Put,USD,34.25,52%,22.5,27.3,82.4%,2024-03-15,14,100,$0.00,0.0,$0.00,UBS,1.08%,Active,$29,$0,$29,,,1.0,"$9,477,689",Sell Put
756,754,2-Feb-24,Listed - Stock,ADYEN NA,Sell,Call,EUR,1456.4,-11%,1300,1209.4,107.5%,2024-03-15,14,840,$1.02,-1.09,-$1.06,MS,3.71%,Active,"$37,707","-$142,083","-$104,376",,,1.0815,"$9,560,951",Sell Call
757,755,2-Feb-24,Listed - Stock,ADYEN NA,Sell,Call,EUR,1456.4,-4%,1400,1209.4,115.8%,2024-03-15,14,840,$1.02,-1.18,-$0.85,MS,1.73%,Active,"$17,610","-$51,237","-$33,627",,,1.0815,"$9,578,560",Sell Call
758,756,2-Feb-24,Listed - Stock,ADYEN NA,Sell,Put,EUR,1456.4,49%,980,1209.4,81.0%,2024-03-15,14,10,$0.01,0.01,$0.00,MS,1.12%,Active,$136,$0,$136,,,1.0815,"$9,578,696",Sell Put
759,757,2-Feb-24,Listed - Stock,BESI NA,Sell,Put,EUR,165.95,38%,120,142.6,84.2%,2024-03-15,14,"7,100",$1.01,0.85,$0.00,MS,1.49%,Active,"$15,083",$0,"$15,083",,,1.0815,"$9,593,780",Sell Put
760,758,2-Feb-24,Listed - Stock,BESI NA,Sell,Put,EUR,165.95,33%,125,142.6,87.7%,2024-03-15,14,"7,100",$1.01,0.89,$0.00,MS,2.00%,Active,"$20,213",$0,"$20,213",,,1.0815,"$9,613,993",Sell Put
761,759,2-Feb-24,Listed - Stock,UMG NA,Sell,Put,EUR,26.56,6%,25,27.5,90.9%,2024-03-15,14,"72,100",$1.98,1.8,$0.21,MS,0.88%,Active,"$17,509",$0,"$17,509",,,1.0815,"$9,631,502",Sell Put
762,760,2-Feb-24,Listed - Stock,UMG NA,Sell,Call,EUR,26.56,13%,30,27.5,109.1%,2024-03-15,14,"117,900",$3.24,-3.54,-$0.03,MS,1.17%,Active,"$37,957",$0,"$37,957",,,1.0815,"$9,669,459",Sell Call
763,761,2-Feb-24,Listed - Stock,RMS FP,Sell,Put,EUR,2316.5,22%,1900,2023.0,93.9%,2024-03-15,14,"9,900",$20.03,18.81,$0.01,MS,1.19%,Active,"$238,301",$0,"$238,301",,,1.0815,"$9,907,760",Sell Put
764,762,2-Feb-24,Listed - Stock,RMS FP,Buy,Call,EUR,2316.5,-9%,2100,2023.0,103.8%,2024-03-15,14,"9,900",$20.03,20.79,$23.56,MS,-1.96%,Active,"-$392,522","$2,318,033","$1,925,511",,,1.0815,"$9,515,238",Buy Call
768,766,5-Feb-24,Listed - Stock,NTES US,Sell,Call,USD,112.28,7%,120,100.4,119.5%,2024-03-15,14,"1,000",$0.10,-0.12,-$0.03,UBS,1.04%,Active,"$1,043",$0,"$1,043",,,1.0,"$9,354,433",Sell Call
770,768,5-Feb-24,Listed - Stock,ONON US,Sell,Put,USD,34.25,52%,22.5,27.1,83.0%,2024-03-15,14,100,$0.00,0.0,$0.00,UBS,1.01%,Active,$27,$0,$27,,,1.0,"$9,354,484",Sell Put
772,770,6-Feb-24,Listed - Stock,NTES US,Sell,Call,USD,112.28,7%,120,107.36,111.8%,2024-03-15,14,"9,400",$1.01,-1.13,-$0.31,UBS,1.75%,Active,"$17,699",$0,"$17,699",,,1.0,"$9,520,483",Sell Call
779,778,13-Feb-24,Listed - Stock,ADYEN NA,Sell,Put,EUR,1456.4,12%,1300,1427.0,91.1%,2024-03-15,14,10,$0.01,0.01,$0.00,MS,1.23%,Active,$175,$0,$175,,,1.0815,"$8,574,562",Sell Put
780,779,13-Feb-24,Listed - Stock,BESI NA,Sell,Put,EUR,165.95,23%,135,150.0,90.0%,2024-03-15,14,"12,100",$1.82,1.63,$0.05,MS,2.22%,Active,"$40,370",$0,"$40,370",,,1.0815,"$8,614,932",Sell Put
781,780,13-Feb-24,Listed - Stock,BESI NA,Buy,Call,EUR,165.95,2%,170,150.0,113.3%,2024-03-15,14,"6,100",$0.92,1.04,$0.48,MS,-2.58%,Active,"-$23,568",$0,"-$23,568",,,1.0815,"$8,591,364",Buy Call
782,781,13-Feb-24,Listed - Stock,UMG NA,Sell,Put,EUR,26.56,-2%,27.1,150.0,18.1%,2024-03-15,14,100,$0.02,0.0,$0.00,MS,0.12%,Active,$18,-$58,-$40,,,1.0815,"$8,591,382",Sell Put
785,784,15-Feb-24,Listed - Index,NDX,Sell,Call,USD,17874.5,-9%,16300,17850,91.3%,2024-03-15,14,15,$26.78,-24.45,-$26.59,UBS,8.89%,Active,"$2,379,877",,"$2,379,877",,,1.0,"$8,494,788",Sell Call
788,787,15-Feb-24,Listed - Stock,UMG NA,Sell,Put,EUR,26.56,2%,26,27.5,94.5%,2024-03-15,14,"17,600",$0.48,0.46,$0.16,MS,2.31%,Active,"$11,198",$0,"$11,198",,,1.0815,"$8,526,108",Sell Put
789,788,15-Feb-24,OTC - Stock,DIM FP,Sell,Put,EUR,250.9,13%,221.1601,240.7,91.9%,2024-03-15,14,"3,214",$0.77,0.71,$0.04,UBS,1.65%,Active,"$12,762",$0,"$12,762",,,1.0815,"$8,538,870",Sell Put
790,789,15-Feb-24,OTC - Stock,DIM FP,Buy,Call,EUR,250.9,6%,264.7183,240.7,110.0%,2024-03-15,14,"3,214",$0.77,0.85,$0.24,UBS,-1.65%,Active,"-$12,762",$0,"-$12,762",,,1.0815,"$8,526,108",Buy Call
791,790,16-Feb-24,OTC - Stock,ADYEN NA,Sell,Put,EUR,1456.4,4%,1400,1499.6,93.4%,2024-03-15,14,"1,300",$1.95,1.82,$0.74,MS,1.22%,Active,"$23,777",$0,"$23,777",,,1.0815,"$8,549,885",Sell Put
792,791,16-Feb-24,Listed - Stock,UMG NA,Sell,Put,EUR,26.56,4%,25.5,26.8,95.1%,2024-03-15,14,"34,900",$0.94,0.89,$0.19,MS,1.52%,Active,"$14,183",$0,"$14,183",,,1.0815,"$8,564,068",Sell Put
793,792,19-Feb-24,Listed - Stock,ADYEN NA,Sell,Put,EUR,1456.4,4%,1400,1496.0,93.6%,2024-03-15,14,670,$1.00,0.94,$0.38,MS,1.10%,Active,"$11,029",$0,"$11,029",,,1.0815,"$8,575,097",Sell Put
794,793,19-Feb-24,Listed - Stock,BESI NA,Sell,Put,EUR,165.95,23%,135,160.5,84.1%,2024-03-15,14,"6,200",$1.00,0.84,$0.02,MS,1.22%,Active,"$12,161",$0,"$12,161",,,1.0815,"$8,587,258",Sell Put
796,795,20-Feb-24,Listed - Index,NDX,Buy,Call,USD,17874.5,-9%,16300,17660,92.3%,2024-03-15,14,5,$8.83,8.15,$8.86,UBS,-7.32%,Active,"-$646,750",,"-$646,750",,,1.0,"$7,962,605",Buy Call
798,797,20-Feb-24,Listed - Stock,BESI NA,Sell,Put,EUR,165.95,33%,125,153.2,81.6%,2024-03-15,14,"3,100",$0.47,0.39,$0.00,MS,1.07%,Active,"$5,073",$0,"$5,073",,,1.0815,"$8,002,021",Sell Put
799,798,20-Feb-24,Listed - Stock,BESI NA,Sell,Put,EUR,165.95,28%,130,153.2,84.9%,2024-03-15,14,"6,100",$0.93,0.79,$0.01,MS,1.56%,Active,"$14,552",$0,"$14,552",,,1.0815,"$8,016,573",Sell Put
800,799,20-Feb-24,Listed - Stock,UMG NA,Sell,Put,EUR,26.56,4%,25.5,27.0,94.4%,2024-03-15,14,"49,000",$1.32,1.25,$0.27,MS,1.23%,Active,"$16,229",$0,"$16,229",,,1.0815,"$8,032,801",Sell Put
801,800,20-Feb-24,Listed - Stock,UMG NA,Buy,Call,EUR,26.56,5%,28,27.0,103.7%,2024-03-15,14,"18,800",$0.51,0.53,$0.09,MS,-2.19%,Active,"-$11,138",$0,"-$11,138",,,1.0815,"$8,021,663",Buy Call
802,801,21-Feb-24,Listed - Stock,ARM US,Sell,Call,USD,133.86,12%,150,123.5,121.5%,2024-03-15,14,"8,100",$1.00,-1.22,-$0.50,UBS,6.48%,Active,"$64,836",$0,"$64,836",,,1.0,"$8,086,499",Sell Call
803,802,21-Feb-24,Listed - Stock,ONON US ,Sell,Put,USD,34.25,27%,27,31.4,86.0%,2024-03-15,14,"32,100",$1.01,0.87,$0.01,UBS,1.46%,Active,"$14,766",$0,"$14,766",,,1.0,"$8,101,265",Sell Put
804,803,21-Feb-24,Listed - Stock,ADYEN NA,Sell,Put,EUR,1456.4,12%,1300,1496.0,86.9%,2024-03-15,14,1,$0.00,0.0,$0.00,MS,3.01%,Active,$45,$0,$45,,,1.0815,"$8,101,310",Sell Put
805,804,21-Feb-24,Listed - Stock,ADYEN NA,Sell,Put,EUR,1456.4,8%,1350,1496.0,90.2%,2024-03-15,14,610,$0.91,0.82,$0.26,MS,0.63%,Active,"$5,772",$0,"$5,772",,,1.0815,"$8,107,082",Sell Put
808,807,22-Feb-24,Listed - Stock,MMYT US,Sell,Put,USD,58.92,7%,55,58.6,93.9%,2024-03-15,14,"1,000",$0.06,0.06,$0.01,UBS,1.35%,Active,$789,$0,$789,,,1.0,"$8,108,360",Sell Put
809,808,22-Feb-24,Listed - Stock,ADYEN NA,Sell,Put,USD,1456.4,8%,1350,1450.0,93.1%,2024-03-15,14,310,$0.45,0.42,$0.12,UBS,0.74%,Active,"$3,316",$0,"$3,316",,,1.0,"$8,111,675",Sell Put
812,811,22-Feb-24,Listed - Stock,UMG NA,Sell,Put,EUR,26.56,4%,25.5,26.8,95.1%,2024-03-15,14,"34,600",$0.93,0.88,$0.19,MS,1.30%,Active,"$12,025",$0,"$12,025",,,1.0815,"$8,153,584",Sell Put
813,812,22-Feb-24,Listed - Stock,UMG NA,Buy,Call,EUR,26.56,13%,30,26.8,111.9%,2024-03-15,14,"6,400",$0.17,0.19,$0.00,MS,-0.63%,Active,"-$1,082",$0,"-$1,082",,,1.0815,"$8,152,502",Buy Call
817,816,26-Feb-24,Listed - Stock,ADYEN NA,Sell,Put,EUR,1456.4,4%,1400,1456.0,96.2%,2024-03-15,14,630,$0.99,0.95,$0.36,MS,1.01%,Active,"$10,060",$0,"$10,060",,,1.0815,"$8,214,074",Sell Put
820,819,26-Feb-24,Listed - Stock,MRNA US,Sell,Put,USD,97.48,16%,84,92.0,91.3%,2024-03-15,14,100,$0.01,0.01,$0.00,UBS,0.87%,Active,$80,$0,$80,,,1.0,"$8,231,816",Sell Put
821,820,26-Feb-24,Listed - Stock,MRNA US,Sell,Put,USD,97.48,15%,85,92.0,92.4%,2024-03-15,14,"10,700",$0.98,0.91,$0.16,UBS,1.29%,Active,"$12,721",$0,"$12,721",,,1.0,"$8,244,537",Sell Put
822,821,26-Feb-24,Listed - Stock,ONON US,Sell,Put,USD,34.25,22%,28,32.8,85.4%,2024-03-15,14,"60,100",$1.97,1.68,$0.03,UBS,1.11%,Active,"$21,906",$0,"$21,906",,,1.0,"$8,266,444",Sell Put
823,822,27-Feb-24,Listed - Stock,BESI NA,Sell,Put,EUR,165.95,7%,155,165.0,93.9%,2024-03-15,14,"5,600",$1.00,0.94,$0.24,MS,1.08%,Active,"$10,804",$0,"$10,804",,,1.0815,"$8,277,247",Sell Put
824,823,27-Feb-24,Listed - Stock,UMG NA,Sell,Put,EUR,26.56,4%,25.5,26.8,95.1%,2024-03-15,14,"28,200",$0.76,0.72,$0.15,MS,1.62%,Active,"$12,247",$0,"$12,247",,,1.0815,"$8,289,494",Sell Put
